 1328: 3.185649, 3.586175 avg loss, 0.000026 rate, 9.052946 seconds, 679936 images, 26.319490 hours left
 1336: 3.459974, 3.573555 avg loss, 0.000027 rate, 9.178129 seconds, 684032 images, 26.173784 hours left
 1344: 3.619499, 3.578149 avg loss, 0.000028 rate, 9.195184 seconds, 688128 images, 26.030957 hours left
 1352: 3.386355, 3.558970 avg loss, 0.000028 rate, 8.981428 seconds, 692224 images, 25.889573 hours left
 1360: 3.443678, 3.547441 avg loss, 0.000029 rate, 9.053471 seconds, 696320 images, 25.746639 hours left
 1368: 3.574898, 3.550186 avg loss, 0.000030 rate, 10.096421 seconds, 700416 images, 25.605866 hours left
 1376: 3.570847, 3.552252 avg loss, 0.000030 rate, 10.320674 seconds, 704512 images, 25.479715 hours left
 1384: 3.839566, 3.580984 avg loss, 0.000031 rate, 10.236238 seconds, 708608 images, 25.357483 hours left
 1392: 3.465402, 3.569426 avg loss, 0.000032 rate, 10.049240 seconds, 712704 images, 25.235162 hours left
 1400: 3.404382, 3.552921 avg loss, 0.000032 rate, 9.983905 seconds, 716800 images, 25.111442 hours left
 1408: 3.700259, 3.567655 avg loss, 0.000033 rate, 10.333848 seconds, 720896 images, 24.987902 hours left
 1416: 3.376427, 3.548532 avg loss, 0.000034 rate, 10.018451 seconds, 724992 images, 24.869839 hours left
 1424: 3.052735, 3.498953 avg loss, 0.000035 rate, 10.157362 seconds, 729088 images, 24.748711 hours left
 1432: 3.372264, 3.486284 avg loss, 0.000035 rate, 10.300983 seconds, 733184 images, 24.630336 hours left
 1440: 3.226846, 3.460340 avg loss, 0.000036 rate, 10.061986 seconds, 737280 images, 24.514743 hours left
 1448: 3.207448, 3.435051 avg loss, 0.000037 rate, 11.623232 seconds, 741376 images, 24.397049 hours left
 1456: 3.489408, 3.440486 avg loss, 0.000038 rate, 11.427167 seconds, 745472 images, 24.300050 hours left
 1464: 3.060662, 3.402504 avg loss, 0.000039 rate, 11.336439 seconds, 749568 images, 24.201287 hours left
 1472: 3.110113, 3.373265 avg loss, 0.000040 rate, 11.412183 seconds, 753664 images, 24.102115 hours left
 1480: 3.170951, 3.353033 avg loss, 0.000040 rate, 11.518590 seconds, 757760 images, 24.004636 hours left
 1488: 3.330731, 3.350803 avg loss, 0.000041 rate, 11.506410 seconds, 761856 images, 23.909214 hours left
 1496: 3.200209, 3.335744 avg loss, 0.000042 rate, 11.496008 seconds, 765952 images, 23.814337 hours left
 1504: 3.061623, 3.308331 avg loss, 0.000043 rate, 11.337853 seconds, 770048 images, 23.720024 hours left
 1512: 3.199006, 3.297399 avg loss, 0.000044 rate, 11.502636 seconds, 774144 images, 23.624424 hours left
 1520: 3.381368, 3.305796 avg loss, 0.000045 rate, 11.551535 seconds, 778240 images, 23.531582 hours left
 1528: 3.185975, 3.293814 avg loss, 0.000046 rate, 12.101356 seconds, 782336 images, 23.440020 hours left
 1536: 3.092817, 3.273714 avg loss, 0.000047 rate, 11.845967 seconds, 786432 images, 23.355947 hours left
 1544: 3.243697, 3.270713 avg loss, 0.000048 rate, 11.985226 seconds, 790528 images, 23.269280 hours left
 1552: 3.180884, 3.261730 avg loss, 0.000049 rate, 12.161402 seconds, 794624 images, 23.184939 hours left
 1560: 3.256482, 3.261205 avg loss, 0.000050 rate, 12.256555 seconds, 798720 images, 23.103353 hours left
